04/13/2025,LA FITNESS,45.19,,279.23
04/11/2025,WINSTOP CANADA 2954 GUELP,28.57,,234.04
04/03/2025,Uniqlo Canada POS_CA_SQ1_,67.80,,205.47
04/03/2025,Laederach Canada Inc.,19.04,,137.67
04/01/2025,UG-HS-DAILY GRIND,7.80,,118.63
04/01/2025,TIM HORTONS #4882,10.83,,110.83
03/30/2025,A&W #4851 MILTON,9.02,,100.00
03/30/2025,PETRO-CANADA 35288,5.41,,90.98
03/29/2025,KHALID BIN AL-WALID MOSQU,20.00,,85.57
03/29/2025,TIM HORTONS #2068,3.45,,65.57
03/29/2025,SQ *HABIBZ CORNER,13.00,,62.12
03/28/2025,SHOPPERS DRUG MART #13,1.99,,49.12
03/28/2025,PAYMENT - THANK YOU,,546.66,47.13
03/27/2025,MUSLIM CHARITY,10.00,,593.79
03/21/2025,ISNA CANADA- TIPTAP,20.00,,583.79
03/21/2025,TIM HORTONS #2068,6.31,,563.79
03/18/2025,TIM HORTONS #2068,10.82,,557.48
